scanned_id,shelf_id,isbn_13,isbn_10,gbooks_id,gbooks_href,title,subtitle,author,all_authors,category,all_categories,loc_number,loc_href
"9780199537822","Lite-SaintA-TheConfess-9780199537822","9780199537822","0199537828","1QkigkuD_3oC","https://www.google.com/search?tbm=bks&q=isbn:9780199537822","The Confessions","","Saint Augustine","Saint Augustine;Henry Chadwick","Literary Collections","Literary Collections","BR65.A6 E5 2008","https://www.loc.gov/search?q=9780199537822"
"9780199540280","---9780199540280","","","","https://www.google.com/search?tbm=bks&q=isbn:9780199540280","","","","","","","Q151 .A72 2008","https://www.loc.gov/search?q=9780199540280"
"9780140449495","Phil-Aristo-TheNicomac-9780140449495","9780140449495","0140449493","iBoqmEvavawC","https://www.google.com/search?tbm=bks&q=isbn:9780140449495","The Nicomachean Ethics","","Aristotle","Aristotle","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140449495"
"9780140444711","Phil-Aristo-DeAnima(On-9780140444711","9780140444711","0140444718","KsoFvv8vdM8C","https://www.google.com/search?tbm=bks&q=isbn:9780140444711","De Anima (On the Soul)","","Aristotle","Aristotle","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140444711"
"9780140444216","Phil-Aristo-ThePolitic-9780140444216","9780140444216","0140444211","JI9wFtaZUlwC","https://www.google.com/search?tbm=bks&q=isbn:9780140444216","The Politics","","Aristotle","Aristotle;Trevor J. Saunders","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140444216"
"9780140441185","Phil-Friedr-ThusSpokeZ-9780140441185","9780140441185","0140441182","K0cCzQEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780140441185","Thus Spoke Zarathustra","","Friedrich Nietzsche","Friedrich Nietzsche","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140441185"
"9780140445152","Biog-Friedr-EcceHomo-9780140445152","9780140445152","0140445153","gl_7Yzgr10cC","https://www.google.com/search?tbm=bks&q=isbn:9780140445152","Ecce Homo","How One Becomes What One is","Friedrich Nietzsche","Friedrich Nietzsche","Biography & Autobiography","Biography & Autobiography","","https://www.loc.gov/search?q=9780140445152"
"9780140449235","Phil-Friedr-BeyondGood-9780140449235","9780140449235","014044923X","pQqWigp1pv0C","https://www.google.com/search?tbm=bks&q=isbn:9780140449235","Beyond Good and Evil","","Friedrich Nietzsche","Friedrich Nietzsche","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140449235"
"9780140445145","Phil-Friedr-Twilightof-9780140445145","9780140445145","0140445145","-ur_M2YcDYIC","https://www.google.com/search?tbm=bks&q=isbn:9780140445145","Twilight of Idols and Anti-Christ","","Friedrich Nietzsche","Friedrich Nietzsche","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140445145"
"9780141195377","Phil-Friedr-OntheGenea-9780141195377","9780141195377","0141195371","OPWlnAEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780141195377","On the Genealogy of Morals","","Friedrich Wilhelm Nietzsche","Friedrich Wilhelm Nietzsche","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780141195377"
"9780143036272","Phil-Marcus-Meditation-9780143036272","9780143036272","0143036270","lwypPwAACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780143036272","Meditations","","Marcus Aurelius (Emperor of Rome)","Marcus Aurelius (Emperor of Rome)","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780143036272"
"9780140436327","Lite-SaintT-SelectedWr-9780140436327","9780140436327","0140436324","0rAbqAjBba8C","https://www.google.com/search?tbm=bks&q=isbn:9780140436327","Selected Writings","","Saint Thomas (Aquinas)","Saint Thomas (Aquinas);Ralph McInerny;Ralph M. McInerny","Literary Collections","Literary Collections","","https://www.loc.gov/search?q=9780140436327"
"9780143036326","Phil-Lucius-OntheShort-9780143036326","9780143036326","0143036327","55JRAAAACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780143036326","On the Shortness of Life","","Lucius Annaeus Seneca","Lucius Annaeus Seneca;Charles Desmond Nuttall Costa","Philosophy","Philosophy","B616.D532 E5 2005","https://www.loc.gov/search?q=9780143036326"
"9780140446197","Phil-Aristo-TheMetaphy-9780140446197","9780140446197","0140446192","a9Tm_7JlNzcC","https://www.google.com/search?tbm=bks&q=isbn:9780140446197","The Metaphysics","","Aristotle","Aristotle;Hugh Lawson-Tancred","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140446197"
"9780872203495","Fict-Plato-CompleteWo-9780872203495","9780872203495","0872203492","eSKTvJDrr5kC","https://www.google.com/search?tbm=bks&q=isbn:9780872203495","Complete Works","","Plato","Plato","Fiction","Fiction","","https://www.loc.gov/search?q=9780872203495"
"9780140446456","Lite-Blaise-Pensees-9780140446456","9780140446456","0140446451","mGxsoCQjreoC","https://www.google.com/search?tbm=bks&q=isbn:9780140446456","Pensees","","Blaise Pascal","Blaise Pascal","Literary Collections","Literary Collections","","https://www.loc.gov/search?q=9780140446456"
"9780140432930","Phil-George-Principles-9780140432930","9780140432930","0140432930","WXCvzAqR3EgC","https://www.google.com/search?tbm=bks&q=isbn:9780140432930","Principles of Human Knowledge","","George Berkeley","George Berkeley","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140432930"
"9780142437605","Biog-Benjam-TheAutobio-9780142437605","9780142437605","0142437603","VzmIi8juxwoC","https://www.google.com/search?tbm=bks&q=isbn:9780142437605","The Autobiography and Other Writings","","Benjamin Franklin","Benjamin Franklin","Biography & Autobiography","Biography & Autobiography","","https://www.loc.gov/search?q=9780142437605"
